th_year,year,annual_rainfall,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Sum,Diff,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND
2524,1981,1459,3.4,19.64,25.17,97.1,207.47,184.44,238.55,193.97,174.96,134.66,139.47,40.54,1459,-0.37,48.21,141.91,329.74,489.01,630.46,616.96,607.48,503.59,449.09,314.67
2525,1982,1379,1.03,16,42.46,94.54,153.36,156.25,185.75,216,287.45,130.69,65,30.68,1379,-0.21,59.49,153,290.36,404.15,495.36,558,689.2,634.14,483.14,226.37
2526,1983,1508,14.39,2.8,12.84,24.6,157.22,188.96,185.76,293.53,232.51,240.84,103.36,51.31,1508,-0.12,30.03,40.24,194.66,370.78,531.94,668.25,711.8,766.88,576.71,395.51
2527,1984,1406,15.07,27.3,32.62,102.67,157.69,193.92,183.05,206.96,230.01,154.23,53.23,49.64,1406,-0.39,74.99,162.59,292.98,454.28,534.66,583.93,620.02,591.2,437.47,257.1
2528,1985,1450,13.6,20.57,31.54,110.06,181.76,172.46,169.75,189.15,247.65,183.01,96.03,34.56,1450,-0.14,65.71,162.17,323.36,464.28,523.97,531.36,606.55,619.81,526.69,313.6
2529,1986,1411,7.28,6.24,8.78,102.53,229.17,155.75,164.34,236.03,219.13,177.12,77.96,29.36,1414,-2.69,22.3,117.55,340.48,487.45,549.26,556.12,619.5,632.28,474.21,284.44
2530,1987,1372,6.86,10.45,32.7,66.39,117.99,188.26,115.72,265.87,271.09,130.49,115.91,50.27,1372,0,50.01,109.54,217.08,372.64,421.97,569.85,652.68,667.45,517.49,296.67
2531,1988,1570,8.61,17.97,19.5,112.47,237.37,217.59,196.97,206.18,216.15,211.64,113.28,12.46,1570,-0.19,46.08,149.94,369.34,567.43,651.93,620.74,619.3,633.97,541.07,337.38
2532,1989,1300,15.54,6.15,47.23,52.83,191.49,158.32,180.95,206.9,190.49,196.66,47.92,5.53,1300,-0.01,68.92,106.21,291.55,402.64,530.76,546.17,578.34,594.05,435.07,250.11
2533,1990,1438,8.34,20.05,58.9,56.11,228.67,166.54,182.07,182.89,222.15,218.57,77.11,16.48,1438,0.12,87.29,135.06,343.68,451.32,577.28,531.5,587.11,623.61,517.83,312.16
2534,1991,1329,7.73,6.26,30.77,60.68,165.36,150.8,166.55,289,224.37,141.91,38.21,46.87,1329,0.49,44.76,97.71,256.81,376.84,482.71,606.35,679.92,655.28,404.49,226.99
2535,1992,1277,21.41,24.56,3.8,27.37,100.2,161.2,229.41,231.08,204.09,171.33,47.6,55.09,1277,-0.14,49.77,55.73,131.37,288.77,490.81,621.69,664.58,606.5,423.02,274.02
2536,1993,1284,17.8,3.44,59.35,75.66,167.39,129.46,162.86,183.47,251.51,127.07,52.81,53.09,1284,0.09,80.59,138.45,302.4,372.51,459.71,475.79,597.84,562.05,431.39,232.97
2537,1994,1604,2.53,25.75,114.56,64.14,238.63,254.69,173.1,283.06,253.75,102.14,66.63,24.89,1604,0.13,142.84,204.45,417.33,557.46,666.42,710.85,709.91,638.95,422.52,193.66
2538,1995,1523,9.93,8.52,31.52,51.98,165.65,175.25,260.4,306.79,249.04,136.38,103.08,24.84,1523,-0.38,49.97,92.02,249.15,392.88,601.3,742.44,816.23,692.21,488.5,264.3
2539,1996,1599,9.36,29.74,36.18,135.5,158.02,187.77,162.84,215.42,321.78,156.57,117.45,67.99,1599,0.38,75.28,201.42,329.7,481.29,508.63,566.03,700.04,693.77,595.8,342.01
2540,1997,1329,2.81,20.98,49.76,80.31,121.14,120.49,226.67,262.67,217.84,136,50.22,40.45,1329,-0.34,73.55,151.05,251.21,321.94,468.3,609.83,707.18,616.51,404.06,226.67
2541,1998,1346,8.03,21.89,19.45,53.07,169.62,184.35,173.34,214.94,217.07,144.73,95.27,44.01,1346,0.23,49.37,94.41,242.14,407.04,527.31,572.63,605.35,576.74,457.07,284.01
2542,1999,1675,30.45,48.19,60.59,171.48,250.83,165.28,180.34,191.83,227.37,213.77,84.8,50.73,1676,-0.66,139.23,280.26,482.9,587.59,596.45,537.45,599.54,632.97,525.94,349.3
2543,2000,1680,16.37,39.59,47.24,174.93,240.31,221.29,179.25,245.78,213.39,168.62,90.35,42.65,1680,0.23,103.2,261.76,462.48,636.53,640.85,646.32,638.42,627.79,472.36,301.62
2544,2001,1558,30.53,7.19,130.9,45.02,227.7,183.96,173.32,247.73,214.68,204.4,52.73,39.5,1558,0.34,168.62,183.11,403.62,456.68,584.98,605.01,635.73,666.81,471.81,296.63
2545,2002,1536,7.2,9.02,45.04,64.91,215.38,156.32,157.48,273.46,296.91,122.43,118.72,68.64,1536,0.49,61.26,118.97,325.33,436.61,529.18,587.26,727.85,692.8,538.06,309.79
2546,2003,1378,12.62,23.12,92.54,52.37,137.62,174.82,176.87,210.78,283.83,131.33,43.77,38.81,1378,-0.48,128.28,168.03,282.53,364.81,489.31,562.47,671.48,625.94,458.93,213.91
2547,2004,1342,18.63,38.13,19.18,68.25,203.96,220.81,232.84,181.48,233.37,67.04,42.4,15.98,1342,-0.07,75.94,125.56,291.39,493.02,657.61,635.13,647.69,481.89,342.81,125.42
2548,2005,1488,8.78,2.74,38.7,68.75,147.02,183.75,217.12,194.96,308.28,130.02,111.08,77.08,1488,-0.28,50.22,110.19,254.47,399.52,547.89,595.83,720.36,633.26,549.38,318.18
2549,2006,1569,9.58,31.98,59.11,117.75,203.13,181.08,228.66,248.15,238.33,190.63,37.43,22.82,1569,0.35,100.67,208.84,379.99,501.96,612.87,657.89,715.14,677.11,466.39,250.88
2550,2007,1516,17.46,10.34,36.63,97.64,272.66,170.27,179.37,209.92,245.83,206.48,48.54,21.56,1517,-0.7,64.43,144.61,406.93,540.57,622.3,559.56,635.12,662.23,500.85,276.58
2551,2008,1647,25.02,33.31,44.76,131.78,212.24,181.89,183.87,196.52,289.78,185.58,124.49,37.51,1647,0.25,103.09,209.85,388.78,525.91,578,562.28,670.17,671.88,599.85,347.58
2552,2009,1481,17.52,6.01,80.84,118.36,217.43,156.39,210.5,206.8,244.87,140.14,66.38,16.07,1481,-0.31,104.37,205.21,416.63,492.18,584.32,573.69,662.17,591.81,451.39,222.59
2553,2010,1554,39.25,10.58,21,56.19,114.1,168.1,205.29,328.87,227.95,231.34,87.48,64.2,1554,-0.35,70.83,87.77,191.29,338.39,487.49,702.26,762.11,788.16,546.77,383.02
2554,2011,1836,29.59,15.73,156.28,103.09,211.48,191.23,244.51,288.6,306.9,187.65,55.08,45.95,1836,-0.09,201.6,275.1,470.85,505.8,647.22,724.34,840.01,783.15,549.63,288.68
2555,2012,1499,71.26,16.78,47.41,99.49,226.11,143.09,180.06,204.62,274.22,97.56,88.16,50.02,1499,0.22,135.45,163.68,373.01,468.69,549.26,527.77,658.9,576.4,459.94,235.74
2556,2013,1559,29.4,23.66,28.77,73.94,152.03,186.34,266.701,206.26,269.34,170.22,105.13,46.17,1558,1.039,81.83,126.37,254.74,412.31,605.071,659.301,742.301,645.82,544.69,321.52
2557,2014,1387,6.59,3.07,21.29,81.65,130.73,185.43,224.91,229.5,214.43,142.79,88.34,58.01,1387,0.26,30.95,106.01,233.67,397.81,541.07,639.84,668.84,586.72,445.56,289.14
2558,2015,1249,23.12,17.26,39.88,69.78,93.12,121.94,197.83,199.25,226.09,144.99,77.46,38.57,1249,0,80.26,126.92,202.78,284.84,412.89,519.02,623.17,570.33,448.54,261.02
2559,2016,1501,45.17,6.29,6.49,34.27,149.72,213.18,220.56,214.44,258.13,193.9,76.82,81.89,1500.86,-0.01,57.95,47.05,190.48,397.17,583.46,648.18,693.13,666.47,528.85,352.61
2560,2017,1854,117.68,9.99,70.55,83.57,279.37,190.62,293.72,244.69,211.04,186.06,109.59,57.02,1853.9,-0.33,198.22,164.11,433.49,553.56,763.71,729.03,749.45,641.79,506.69,352.67
2561,2018,1467,41.54,26.17,46,122.47,196.44,183.17,230.02,194.72,193.42,136.63,33.45,63.61,1467.64,0.44,113.71,194.64,364.91,502.08,609.63,607.91,618.16,524.77,363.5,233.69
2562,2019,,33.86,14.82,21.45,49.24,157.42,134.45,141.18,303.89,211.16,,,,,,70.13,85.51,228.11,341.11,433.05,579.52,656.23,,,
